cust,st,g,a,salesrev
Clement Alston,FL,Male,82,$56
Clement Hull,TX,Male,47,$211
Clemente Barrett,CA,Male,55,$809
Clemente Cash,FL,Male,81,$140
Clemente Meyers,CA,Male,54,$96
Cleo Levy,NY,Male,61,$322
Cleo Odom,WA,Female,52,$1146
Cleveland Donaldson,CA,Male,72,$943
Cliff Clemons,NC,Male,61,$195
Clifford Joseph,GA,Male,74,$185
Clifton Solis,TX,Male,30,$30
Clint Valenzuela,NC,Male,37,$869
Clinton Sanders,GA,Male,53,$300
Clinton White,NY,Male,30,$240
Clyde Ball,NY,Male,51,$60
Clyde Gay,CA,Male,55,$77
Colby Holcomb,NY,Male,31,$385
Cole Garrison,OR,Male,73,$25
Cole Velazquez,CO,Male,67,$209
Coleen Jones,VA,Female,52,$90
Coleen Wood,MA,Female,39,$285
Colette Bender,NC,Female,65,$140
Colette Fitzpatrick,NJ,Female,48,$84
Colette Frye,TX,Female,60,$669
Colette Pope,CA,Female,45,$40
Colette Wolfe,MA,Female,43,$178
Colin Becker,LA,Male,55,$579
Colin Holder,NC,Male,69,$330
Colleen Garza,TN,Female,68,$207
Colleen Juarez,SC,Female,50,$327
Colton Baxter,NH,Male,24,$319
Colton Roman,CT,Male,67,$144
Colton Schneider,VA,Male,67,$538
Colton Shaw,SC,Male,74,$60
Columbus Hansen,NY,Male,48,$428
Columbus Patton,CO,Male,46,$40
Columbus Rice,OH,Male,50,$175
Columbus Skinner,UT,Male,56,$244
Concepcion Schmidt,TX,Female,75,$300
Concetta Eaton,GA,Female,47,$39
Concetta Stout,AL,Female,68,$739
Connie Atkinson,CA,Male,48,$279
Connie Newman,TX,Male,32,$599
Connie Newton,CO,Female,46,$90
Constance Kemp,CA,Female,53,$238
Constance Ray,AL,Female,24,$26
Constance Stark,TX,Female,63,$98
Consuelo Bartlett,NC,Female,27,$128
Consuelo Edwards,NY,Female,28,$829
Consuelo Thompson,TX,Female,64,$232
Consuelo Waller,CA,Female,44,$541
Cora McKee,NJ,Female,37,$309
Cora Shelton,AL,Female,32,$39
Cordell Ellis,CO,Male,32,$350
Cordell Puckett,TN,Male,27,$40
Cordell Sears,VA,Male,64,$659
Corey Leblanc,NC,Male,54,$168
Corina Puckett,OR,Female,48,$50
Corine Kramer,CT,Female,76,$224
Corinne Craig,NC,Female,47,$500
Corinne Parker,PA,Female,25,$116
Cornelia Everett,CO,Female,47,$590
Cornelius Shields,TX,Male,55,$564
Cornelius Wheeler,NY,Male,70,$790
Cornell Williamson,NC,Male,49,$60
Corrine Peterson,AL,Female,71,$13
Corrine Rodgers,GA,Female,28,$252
Cortez Coffey,FL,Male,48,$105
Cortez Lloyd,CT,Male,37,$240
Cory Glover,NC,Male,69,$120
Cory Pratt,WA,Male,57,$120
Courtney Evans,TX,Female,43,$630
Courtney Gutierrez,NJ,Male,27,$270
Courtney Hammond,CO,Male,62,$176
Coy Sharp,FL,Male,62,$80
Craig Hooper,NH,Male,71,$250
Craig Morton,LA,Male,22,$374
Cristina Snider,NC,Female,71,$144
Cristobal Buck,TX,Male,32,$91
Cristopher Johnston,CT,Male,74,$384
Cruz Huff,NY,Male,65,$370
Cruz Padilla,OH,Male,66,$377
Crystal Santiago,WA,Female,49,$295
Crystal Vazquez,NC,Female,59,$584
Crystal White,NJ,Female,72,$489
Curt Barry,NJ,Male,68,$304
Curt Chandler,FL,Male,76,$206
Curt Dickerson,VA,Male,62,$610
Curt Skinner,TX,Male,60,$1216
Curtis George,FL,Male,64,$190
Cynthia Case,TX,Female,48,$177
Cynthia McFadden,NY,Female,58,$280
Cynthia Rivas,NM,Female,81,$192
Cyril Hardin,FL,Male,79,$279
Cyril Yang,TN,Male,64,$40
Cyrus Booker,FL,Male,47,$230
Cyrus Juarez,TX,Male,51,$98
Cyrus Melendez,CA,Male,64,$60
Daisy Best,OR,Female,40,$639
Daisy Lindsay,TX,Female,50,$270
Daisy Maddox,CT,Female,25,$46
Daisy Walsh,FL,Female,81,$120
Dale Grimes,PA,Male,26,$238
Dale Hopper,TX,Female,38,$210
Dale Simon,RI,Male,22,$439
Dale Strickland,GA,Female,52,$224
Dalton Dorsey,TX,Male,59,$489
Dalton Jarvis,CT,Male,26,$175
Damian David,CT,Male,49,$819
Damian Galloway,NM,Male,42,$749
Damian Nicholson,FL,Male,68,$304
Damien Gay,OH,Male,61,$492
Damion Cole,TX,Male,54,$234
Damion Compton,GA,Male,33,$178
Damion Cooper,TX,Male,63,$26
Damion Graves,VA,Male,69,$1257
Damion Lara,FL,Male,69,$120
Damon Fitzpatrick,VA,Male,66,$279
Damon Harrison,NC,Male,32,$1120
Damon McCall,WA,Male,49,$254
Damon Simpson,AZ,Male,63,$228
Dan Buck,AL,Male,56,$488
Dan Hutchinson,TX,Male,32,$344
Dan Moody,TN,Male,34,$160
Dan Sherman,TN,Male,39,$224
Dana Dalton,FL,Female,80,$215
Dana Dean,NH,Female,69,$340
Dana Figueroa,LA,Female,32,$40
Dana Marshall,TN,Female,30,$241
Dana McMillan,CA,Male,28,$233
Dane Battle,AZ,Male,84,$66
Dane Ferguson,TX,Male,35,$414
Dane McCoy,VA,Male,73,$119
Dane Phelps,CO,Male,46,$280
Daniel McKee,TX,Male,45,$308
Daniel Stark,GA,Male,31,$360
Danielle Burgess,CA,Female,53,$274
Danielle Garner,GA,Female,58,$112
Danielle Nash,NC,Female,42,$205
Danielle Randolph,TX,Female,55,$283
Danilo Dillard,GA,Male,25,$100
Dannie Chaney,FL,Male,80,$78
Danny Irwin,TX,Male,62,$211
Dante Cole,NC,Male,22,$394
Dante Savage,PA,Male,49,$327
Daphne Potts,NJ,Female,69,$573
Darcy Flynn,CA,Female,26,$659
Darcy Haney,WA,Female,30,$13
Darcy Mayer,PA,Female,65,$165
Darcy McNeil,CO,Female,32,$200
Darcy Sullivan,NJ,Female,56,$295
Darin Johns,CO,Male,46,$121
Dario Cooper,FL,Male,52,$657
Dario Hayes,GA,Male,35,$282
Dario Herman,TN,Male,34,$319
Darius Burke,NC,Male,27,$418
Darius Cochran,NC,Male,51,$589
Darlene Hurley,CA,Female,60,$155
Daron Briggs,NC,Male,24,$597
Daron Davis,AL,Male,38,$469
Darrel Kline,NY,Male,62,$220
Darrel Strickland,MA,Male,34,$600
Darrel Yang,PA,Male,52,$166
Darrell Woodard,CO,Male,64,$78
Darren Sharpe,AZ,Male,78,$140
Darrick Frederick,GA,Male,51,$282
Darrick Fry,GA,Male,74,$80
Darrin Faulkner,WA,Male,48,$39
Darrin Freeman,NY,Male,39,$450
Darrin Horton,CA,Male,63,$609
Darrin Koch,NH,Male,37,$120
Darrin McGuire,CA,Male,27,$104
Darron Strong,TX,Male,74,$1214
Darron Terrell,MA,Male,48,$339
Darryl Duran,VA,Male,53,$168
David Booth,NM,Male,65,$44
David Jimenez,TN,Male,70,$378
Dean Vincent,FL,Male,86,$120
Dean Wilkerson,TX,Male,52,$75
Deana Cortez,FL,Female,58,$100
Deana Giles,FL,Female,88,$529
Deana Lyons,FL,Female,82,$60
Deandre Mann,NH,Male,30,$572
Deangelo Woods,GA,Male,55,$60
Deanna Bruce,GA,Female,27,$500
Deanna Curry,NY,Female,36,$280
Deanna Dunn,NY,Female,74,$335
Deanna Sloan,CA,Female,57,$415
Deanne Gardner,FL,Female,48,$274
Debbie McCall,AL,Female,65,$539
Debbie Mooney,VA,Female,61,$65
Debbie Reid,FL,Female,69,$1030
Debbie Reyes,PA,Female,35,$560
Debora Blanchard,FL,Female,77,$464
Deborah Ramsey,FL,Female,80,$274
Deborah Roberson,FL,Female,89,$539
Deborah Scott,FL,Female,78,$120
Debra Cantu,NY,Female,50,$240
Debra Faulkner,NC,Female,58,$240
Debra Roach,TX,Female,47,$175
Dee Anderson,TX,Female,70,$170
Dee Hopper,NJ,Male,30,$13
Dee Sharpe,FL,Female,46,$64
Dee Wiggins,TX,Female,79,$472
Dee Wolfe,GA,Female,64,$259
Deena Curry,VA,Female,71,$427
Deena Lyons,CT,Female,24,$100
Deidre Bell,NC,Female,51,$60
Deirdre McDowell,TX,Female,51,$120
Del Mays,FL,Male,70,$112
Delbert Melton,GA,Male,60,$180
Delia Gates,NC,Female,50,$196
Delia Herman,FL,Female,58,$259
Delia Huber,NC,Female,65,$1086
Delia Spencer,NJ,Female,30,$597
Della Calderon,CA,Female,69,$429
Della Tyler,NY,Female,41,$1112
Delmer Clarke,GA,Male,51,$239
Delmer French,FL,Male,47,$90
Delmer Pittman,FL,Male,43,$224
Delores Vargas,VA,Female,69,$253
Deloris Blair,TX,Female,78,$319
Deloris Hess,GA,Female,50,$198
Deloris Nolan,GA,Female,42,$10
Demarcus Gonzalez,CA,Male,57,$309
Demetrius Fox,CT,Male,52,$559
Dena Estrada,WA,Female,69,$253
Denise McClain,FL,Female,89,$140
Dennis Walter,FL,Male,75,$20
Dennis Weaver,AL,Male,57,$837
Denny Wilkerson,CA,Male,60,$319
Denver Carlson,FL,Male,48,$500
Denver Rhodes,NC,Male,42,$819
Deon Tillman,TN,Male,43,$60
Derek Irwin,NC,Male,48,$322
Derek McIntosh,TX,Male,59,$544
Derick Gross,NJ,Male,52,$420
Derick Lester,NC,Male,60,$125
Derrick Solomon,FL,Male,95,$115
Deshawn Wyatt,CA,Male,44,$219
Desiree Hanson,SC,Female,29,$116
Desmond Morales,NC,Male,29,$22
Devin Davis,PA,Male,31,$744
Devin Webb,NC,Male,65,$270
Devon Huffman,TX,Male,73,$225
Dewayne Pope,VA,Male,48,$133
Dewayne Sweeney,NY,Male,32,$155
Dewey Buchanan,SC,Male,63,$105
Dewey Chan,FL,Male,45,$1312
Dewey Howe,SC,Male,23,$91
Dewitt Maynard,TX,Male,76,$66
Diana Mercado,OH,Female,71,$130
Diann Tran,CA,Female,60,$390
Dianna Kerr,TX,Female,31,$160
Dianna Levine,AL,Female,32,$264
Dianna Poole,MA,Female,49,$250
Dianna Travis,GA,Female,52,$220
Dianna Williams,CT,Female,25,$447
Dianne Campbell,FL,Female,73,$129
Dianne Contreras,TN,Female,71,$180
Dianne Cooper,MA,Female,31,$609
Dianne Joyner,LA,Female,61,$808
Dianne Lowe,FL,Female,59,$259
Dianne Phillips,NC,Female,55,$150
Dick McPherson,NC,Male,21,$195
Dick Spence,CA,Male,44,$51
Diego Hester,NC,Male,28,$70
Dillon McKnight,FL,Male,66,$180
Dina Moss,WA,Female,64,$344
Dino Hunt,TX,Male,58,$320
Dion Cooley,NC,Male,66,$215
Dionne McIntosh,GA,Female,29,$100
Dionne Newton,FL,Female,48,$439
Dirk Page,NY,Male,29,$20
Dixie Bolton,SC,Female,35,$229
Dollie Higgins,NC,Female,54,$235
Dolores Norris,TX,Female,31,$78
Domenic Castaneda,AZ,Male,85,$155
Domenic Langley,LA,Male,27,$802
Dominic Dale,AZ,Male,68,$20
Dominic McCray,MA,Male,35,$165
Dominic Ryan,FL,Male,60,$20
Dominick Cameron,CA,Male,50,$135
Dominique Baldwin,CA,Male,56,$299
Dominique Maldonado,GA,Female,53,$99
Dominique Wagner,PA,Male,27,$300
Dona Maxwell,WA,Female,72,$120
Dona Sanford,WA,Female,35,$839
Dona Stanley,GA,Female,52,$236
Donald Pitts,CO,Male,50,$388
Dong Lee,OR,Male,24,$413
Dong Rivers,PA,Male,62,$194
Donna Webster,PA,Female,38,$39
Donnell Gentry,LA,Male,71,$289
Donnie Cruz,CT,Male,33,$196
Donnie Ellison,CA,Male,35,$160
Donny Pate,LA,Male,41,$205
Donovan Valenzuela,TX,Male,36,$519
Dora Bradley,CA,Female,66,$279
Dora Brewer,CT,Female,36,$329
Dora Rocha,TN,Female,29,$270
Dorian Stephens,VA,Male,73,$386
Doris Gilliam,TX,Female,69,$120
Doris Holder,FL,Female,73,$13
Doris Oneill,AZ,Female,82,$13
Doris Peters,TX,Female,67,$299
Dorothea Bauer,TN,Female,25,$664
Dorothea Vega,CA,Female,32,$210
Dorothy Boyer,PA,Female,69,$50
Dorothy Norris,OH,Female,47,$539
Dorsey Cain,NY,Male,72,$135
Dorsey Jenkins,PA,Male,31,$355
Dorthy Ellison,WA,Female,75,$120
Dorthy Pitts,AL,Female,33,$659
Doug Hart,FL,Male,60,$60
Doug Pope,FL,Male,81,$481
Doug Scott,GA,Male,56,$151
Doug Torres,VA,Male,44,$929
Douglass Freeman,CA,Male,71,$225
Douglass Navarro,VA,Male,70,$780
Duane Hunter,AZ,Male,58,$237
Duane Wong,NY,Male,71,$419
Dudley Griffith,MA,Male,69,$349
Dudley McNeil,TX,Male,62,$724
Dudley Odom,NY,Male,21,$70
Duncan Daniel,OR,Male,53,$419
Dustin Cooley,FL,Male,62,$146
Dustin Patrick,GA,Male,37,$345
Dwain Lyons,CA,Male,44,$560
Dwain Peters,FL,Male,46,$91
Dwayne Ellis,VA,Male,34,$1105
Dwight Cote,AZ,Male,76,$294
Dwight McGuire,TX,Male,36,$50
Dylan Mooney,TX,Male,28,$278
Earl Larson,OR,Male,58,$253
Earl Rios,NH,Male,63,$200
Earl Wells,LA,Male,50,$274
Earle Curry,LA,Male,36,$72
Earle Gutierrez,SC,Male,35,$249
Earlene Hodges,AZ,Female,87,$288
Earlene Howell,CA,Female,48,$298
Earline Bruce,CA,Female,28,$15
Earnest Mueller,CO,Male,67,$630
Earnestine McCray,AZ,Female,45,$117
Ebony Stone,GA,Female,29,$594
Ebony Yates,TX,Female,53,$66
Ed Sears,TX,Male,37,$350
Ed Tyson,AL,Male,53,$749
Eddie Anthony,OR,Female,42,$459
Eddie Atkins,AZ,Male,45,$45
Eddie Coleman,FL,Female,48,$500
Eddie Giles,WA,Male,38,$250
Eddie Glass,NY,Female,39,$191
Eddie Holmes,CA,Male,65,$45
Eddie Mayo,PA,Male,55,$345
Eddie Murphy,VA,Female,65,$80
Edgardo Powers,UT,Male,36,$28
Edgardo Randolph,NY,Male,54,$140
Edgardo Washington,TX,Male,72,$378
Edison Gibson,NC,Male,69,$271
Edison Madden,LA,Male,51,$215
Edith Berger,NC,Female,24,$180
Edith Copeland,WA,Female,70,$266
Edith Mason,RI,Female,66,$39
Edmond Erickson,TN,Male,48,$224
Edmund Carey,CA,Male,24,$40
Edmund Flynn,TX,Male,43,$100
Edna Riddle,MA,Female,74,$100
Edna Stevenson,PA,Female,65,$240
Eduardo Joseph,FL,Male,89,$150
Edward Rogers,TX,Male,30,$45
Edward Solomon,CA,Male,48,$145
Edward White,TX,Male,40,$231
Edwardo Beach,LA,Male,58,$175
Edwardo Orr,CA,Male,27,$66
Edwin McBride,FL,Male,53,$369
Edwin Parrish,FL,Male,58,$419
Edwina Meadows,CO,Female,57,$434
Edwina Whitney,OH,Female,73,$515
Edwina Wilson,TX,Female,67,$120
Effie Bean,GA,Female,35,$250
Effie Hudson,NH,Female,49,$507
Effie Preston,RI,Female,41,$901
Efrain Osborn,NM,Male,79,$46
Elaine Kelley,TX,Female,33,$374
Elba Justice,OR,Female,49,$279
Elba Vance,TX,Female,44,$217
Elbert Myers,OR,Male,29,$309
Elden Gould,FL,Male,59,$60
Elden Stewart,MA,Male,32,$505
Eldridge Foley,NY,Male,72,$188
Eleanor Grant,NY,Female,28,$140
Eli Bright,FL,Male,86,$193
Eli Foster,AZ,Male,61,$616
Eli Larson,CT,Male,22,$305
Elinor Case,MA,Female,24,$279
Elisa Crosby,TX,Female,41,$194
Elisa Doyle,VA,Female,77,$203
Elisa Meyers,GA,Female,59,$135
Elisabeth Pearson,SC,Female,39,$360
Elisabeth Stanley,AL,Female,54,$309
Elisabeth Vance,GA,Female,43,$30
Elise McGuire,TX,Female,74,$879
Elise Owens,NC,Female,70,$325
Elise Rodriquez,CA,Female,29,$1274
Eliseo Fuentes,TX,Male,74,$284
Eliseo Nelson,NY,Male,36,$359
Elisha Jarvis,RI,Male,27,$98
Elisha Kramer,CT,Male,53,$519
Elisha Leonard,CA,Male,74,$879
Elisha Rutledge,NY,Male,21,$149
Elizabeth Hodge,FL,Female,98,$120
Ella Bartlett,CA,Female,30,$389
Ella Colon,VA,Female,31,$540
Elliot McCullough,CO,Male,22,$60
Elliot Stephens,GA,Male,64,$186
Elliot Watson,TX,Male,70,$509
Elliott Horn,AL,Male,70,$289
Elliott Merritt,TX,Male,50,$416
Elliott Meyer,VA,Male,21,$379
Ellis Bowers,FL,Male,73,$180
Ellis Erickson,CA,Male,30,$339
Ellis Rosario,AL,Male,25,$524
Ellsworth Sims,GA,Male,52,$380
Ellsworth Washington,TX,Male,38,$267
Ellsworth Whitehead,FL,Male,48,$317
Elma Bauer,CO,Female,42,$43
Elma Grimes,NY,Female,30,$105
Elma Rivers,NC,Female,28,$723
Elmer Gill,MA,Male,30,$389
Elmo Durham,GA,Male,27,$289
Elmo Gallagher,TX,Male,55,$1023
Elmo Walter,FL,Male,92,$60
Eloise Merritt,NC,Female,69,$146
Eloy Kidd,TX,Male,56,$160
Elroy Clements,TX,Male,33,$13
Elroy Daniel,LA,Male,50,$509
Elsa Barton,OR,Female,61,$689
Elsa McNeil,TX,Female,75,$584
Elsa Shaffer,GA,Female,52,$386
Elsie French,VA,Female,45,$524
Elsie Gomez,CA,Female,47,$480
Elsie Nguyen,NC,Female,58,$160
Elton Joyce,PA,Male,59,$210
Elton West,FL,Male,91,$100
Elva Abbott,NC,Female,51,$743
Elva Riley,VA,Female,62,$252
Elva Short,AZ,Female,73,$920
Elva Trujillo,VA,Female,55,$30
Elvia Kidd,CO,Female,59,$302
Elvia Mays,MA,Female,72,$719
Elvira Bennett,NY,Female,55,$414
Elvira Kirk,VA,Female,68,$45
Elvis Case,TX,Male,76,$359
Elvis Petersen,GA,Male,70,$785
Elwood Marquez,VA,Male,56,$60
Emerson Sargent,FL,Male,44,$681
Emil Ferguson,NY,Male,22,$462
Emil Holloway,NY,Male,49,$223
Emile Barry,TX,Male,29,$264
Emile Greene,FL,Male,43,$140
Emile OConnor,WA,Male,51,$224
Emilia Nixon,TX,Female,42,$215
Emilia Wagner,VA,Female,46,$125
Emilio Chapman,VA,Male,59,$324
Emilio Graham,SC,Male,36,$210
Emilio Kramer,FL,Male,61,$130
Emily Fowler,GA,Female,40,$140
Emily Rutledge,VA,Female,68,$96
Emmanuel Hebert,FL,Male,77,$419
Emmanuel Powell,FL,Male,69,$103
Emmanuel Salazar,PA,Male,59,$299
Emmanuel Strong,TX,Male,42,$160
Emmett Cummings,FL,Male,56,$140
Emmett Greene,GA,Male,26,$180
Emmitt Gentry,NY,Male,26,$72
Emmitt Snow,CO,Male,43,$749
Enid Lang,TN,Female,73,$120
Enid Rich,PA,Female,29,$499
Enoch Johnson,NC,Male,50,$304
Enrique Berry,TX,Male,39,$15
Enrique Harrington,TX,Male,70,$244
Enrique Webster,MA,Male,71,$52
Eric Chase,UT,Male,65,$155
Eric Hoover,FL,Male,77,$214
Eric Hunter,GA,Male,42,$318
Erica Graham,NJ,Female,31,$679
Erica McCormick,PA,Female,39,$269
Erica Sykes,NY,Female,52,$219
Erich Odom,CA,Male,69,$480
Erich Santos,TX,Male,53,$120
Erick Frederick,NY,Male,58,$511
Ericka Atkins,TX,Female,84,$175
Ericka Battle,CA,Female,77,$304
Ericka Gamble,TN,Female,35,$13
Erik Jackson,TX,Male,28,$239
Erin Buck,FL,Male,42,$60
Erin Juarez,RI,Female,62,$40
Erin Lester,FL,Male,48,$443
Erma Logan,VA,Female,56,$176
Erma Sexton,FL,Female,68,$420
Erma Watkins,CT,Female,38,$20
Erna Wood,CO,Female,38,$140
Ernest Cervantes,TX,Male,46,$494
Ernestine Mathews,FL,Female,48,$325
Ernesto Fischer,WA,Male,52,$234
Errol Kerr,TX,Male,70,$140
Errol Lynn,PA,Male,70,$669
Errol Merrill,PA,Male,35,$420
Ervin Jensen,FL,Male,76,$225
Erwin Atkins,CA,Male,27,$120
Esmeralda Best,FL,Female,45,$40
Esmeralda Hicks,OH,Female,53,$274
Esperanza Anthony,FL,Female,65,$40
Esperanza Grimes,LA,Female,64,$160
Esperanza Rocha,PA,Female,71,$104
Esperanza Stone,NC,Female,33,$15
Esteban Byrd,CT,Male,56,$360
Esteban Kelley,VA,Male,23,$629
Esteban McNeil,NC,Male,40,$195
Estela Jenkins,PA,Female,61,$404
Estela Quinn,CA,Female,25,$180
Estella Parks,NY,Female,57,$115
Estella Simpson,UT,Female,24,$859
Ester Webster,AL,Female,58,$140
Esther Koch,AZ,Female,87,$236
Ethan Ray,NC,Male,42,$238
Ethel Dale,NC,Female,63,$176
Ethel McKnight,OR,Female,76,$85
Ethel Wolf,LA,Female,51,$220
Etta Becker,MA,Female,42,$190
Etta Cameron,NC,Female,26,$328
Etta Conley,CO,Female,63,$252
Etta Cross,UT,Female,56,$40
Etta French,AZ,Female,66,$427
Etta Hendrix,WA,Female,60,$1034
Etta Shaffer,NH,Female,27,$489
Etta Sweet,NC,Female,57,$160
Eugenio Dyer,TX,Male,36,$250
Eugenio Hebert,NY,Male,34,$185
Eugenio Macdonald,NC,Male,57,$187
Eula Slater,TX,Female,78,$180
Eunice Dawson,GA,Female,28,$335
Eunice OConnor,TX,Female,45,$75
Eusebio Reynolds,CA,Male,41,$165
Eva Bird,NC,Female,44,$949
Eva Sparks,UT,Female,75,$1099
Evan Harris,CA,Male,40,$248
Evangelina Head,CA,Female,30,$400
Evangeline Abbott,PA,Female,65,$154
Evangeline Bass,FL,Female,55,$40
Eve Burch,NY,Female,58,$78
Eve Collins,GA,Female,41,$149
Everett Hobbs,TX,Male,56,$325
Everett Lopez,TX,Male,69,$90
Everett Nielsen,NY,Male,27,$309
Ezekiel Berger,FL,Male,50,$540
Ezekiel Montgomery,MA,Male,56,$260
Ezekiel Terrell,OR,Male,69,$265
Ezekiel Tillman,FL,Male,88,$260
Faith Fernandez,SC,Female,35,$252
Faith Munoz,NY,Female,31,$320
Fannie Byrd,VA,Female,35,$319
Fannie Puckett,LA,Female,76,$419
Fanny Ramos,VA,Female,41,$359
Faustino Steele,PA,Male,57,$233
Fausto Mayer,SC,Male,45,$298
Federico Leonard,CT,Male,28,$639
Felecia Bernard,FL,Female,50,$189
Felecia Douglas,CT,Female,73,$13
Felix Dalton,CA,Male,49,$177
Ferdinand Langley,FL,Male,91,$344
Ferdinand Richard,FL,Male,61,$127
Fermin Joseph,TX,Male,74,$420
Fermin Shelton,TX,Male,80,$210
Fernando Barlow,FL,Male,46,$60
Fernando Estrada,TX,Male,54,$342
Fernando Mathews,VA,Male,61,$399
Fidel Gonzales,TN,Male,57,$347
Fidel Hampton,MA,Male,59,$999
Fidel Harrell,GA,Male,64,$104
Fidel Madden,AL,Male,74,$180
Fidel Roth,NC,Male,29,$45
Filiberto Tillman,NY,Male,71,$80
Florence Mayo,NY,Female,39,$140
Florencio Cash,CA,Male,43,$247
Florentino Chan,NY,Male,49,$437
Florine Craig,AZ,Female,38,$554
Florine Emerson,GA,Female,62,$219
Florine Green,NC,Female,46,$100
Florine Hamilton,UT,Female,47,$140
Florine Hoover,NM,Female,70,$713
Florine McKnight,FL,Female,59,$117
Florine Stark,CO,Female,60,$296
Flossie Scott,FL,Female,69,$239
Floyd Burns,TN,Male,39,$190
Floyd Lynch,FL,Male,84,$359
Forest Hernandez,FL,Male,90,$934
Forrest Aguilar,NH,Male,22,$158
Foster Harrington,VA,Male,68,$110
Foster Middleton,AL,Male,33,$30
Fran Fletcher,PA,Female,46,$378
Frances Knox,LA,Male,46,$259
Frances Maddox,MA,Male,38,$130
Francesca Leach,FL,Female,96,$306
Francesca Woods,NY,Female,40,$301
Francesco Mercer,TN,Male,46,$65
Francine Lowe,CA,Female,66,$30
Francis Cervantes,OH,Male,33,$505
Francis Kramer,TN,Female,76,$509
Francis Lara,CO,Male,70,$244
Francis Mays,TX,Male,67,$493
Francis Reed,NM,Male,52,$100
Francis Shelton,FL,Female,70,$531
Francisca Bond,WA,Female,69,$155
Francisca Cantrell,GA,Female,64,$75
Francisca Noel,TX,Female,75,$629
Francisca Pruitt,CO,Female,41,$45
Francisco Dalton,LA,Male,21,$60
Francisco McDaniel,GA,Male,71,$280
Frank Serrano,GA,Male,56,$504
Frankie Henson,VA,Male,38,$600
Frankie Wise,AZ,Male,62,$237
Franklin Dudley,SC,Male,66,$379
Franklin Frost,NY,Male,71,$117
Franklin Good,NC,Male,36,$863
Franklyn Crawford,FL,Male,68,$224
Franklyn Jensen,FL,Male,60,$700
Fred McClain,FL,Male,72,$26
Fred Olson,NC,Male,39,$299
Freddie Kirkland,TN,Male,37,$65
Freddie Murphy,NY,Male,73,$300
Freddie Tillman,WA,Male,56,$15
Freddy Lyons,TX,Male,55,$175
Freddy Powers,SC,Male,23,$180
Frederic Scott,CO,Male,21,$348
Frederick Bray,FL,Male,74,$135
Frederick Tanner,SC,Male,52,$296
Frederick Zamora,RI,Male,35,$13
Fredrick Finch,TX,Male,39,$60
Fredrick Francis,AZ,Male,78,$112
Fredrick Kramer,CA,Male,22,$244
Fredrick Rhodes,NC,Male,60,$180
Fredrick Sawyer,AZ,Male,43,$205
Freeman Estrada,TX,Male,30,$647
Freeman McDonald,GA,Male,58,$153
Freida Hammond,FL,Female,46,$104
Frieda Dudley,RI,Female,35,$165
Frieda McFarland,CO,Female,69,$98
Frieda Peterson,TX,Female,50,$60
Frieda Velazquez,VA,Female,58,$178
Fritz Giles,NY,Male,34,$100
Gabriel Lyons,NY,Male,49,$317
Gabriel Mueller,AL,Male,52,$39
Gabriel Rodriguez,FL,Male,69,$80
Gabriela Oliver,FL,Female,98,$125
Gabriela Stuart,NC,Female,72,$241
Gail Goff,GA,Male,22,$296
Gail McKay,FL,Female,98,$60
Gale Chen,CO,Male,71,$39
Gale Garrison,TX,Male,69,$171
Gale Kim,AZ,Female,89,$191
Gale Maynard,GA,Male,42,$65
Gale Stewart,TX,Male,66,$490
Galen Finch,FL,Male,89,$270
Galen Phelps,TX,Male,55,$240
Galen Shepard,FL,Male,90,$135
Garfield Henson,MA,Male,33,$411
Garland Cline,CA,Male,65,$80
Garland Newton,VA,Male,25,$15
Garret Fowler,NC,Male,50,$421
Garrett Boone,FL,Male,49,$180
Garrett Fernandez,NJ,Male,34,$778
Garrett Gibbs,FL,Male,92,$306
Garrett Hines,OR,Male,31,$179
Garrett Sullivan,TX,Male,31,$100
Garry Ellis,CT,Male,35,$60
Garth Macias,NM,Male,57,$291
Gary Flores,FL,Male,91,$117
Gary Moreno,FL,Male,63,$60
Gary Wilkinson,VA,Male,25,$529
Gaston Dillard,CA,Male,40,$1140
Gaston Lindsay,TX,Male,63,$656
Gaston Wolf,CT,Male,34,$239
Gavin Edwards,FL,Male,47,$435
Gavin Espinoza,FL,Male,52,$459
Gavin Jacobson,NM,Male,30,$154
Gavin Stanton,CO,Male,57,$569
Gay Carson,CT,Female,73,$180
Gayle Bender,PA,Female,74,$159
Gayle Craig,WA,Male,67,$240
Gayle Goff,AL,Female,63,$920
Gayle Goodman,NY,Male,27,$61
Gayle Pope,NY,Male,47,$30
Gayle Schwartz,NJ,Female,62,$224
Gaylord Hebert,NJ,Male,29,$28
Gena Booth,WA,Female,67,$380
Gena Weaver,NC,Female,55,$39
Gena Weiss,GA,Female,47,$283
Genaro Joseph,AL,Male,28,$363
Genaro Lancaster,PA,Male,50,$106
Genaro Melendez,FL,Male,64,$160
Gene Page,NY,Male,30,$40
Geneva Chapman,FL,Female,57,$1229
Geneva Grimes,RI,Female,64,$160
Geneva Vega,NY,Female,28,$869
Genevieve Benjamin,TX,Female,62,$56
Geoffrey Bird,FL,Male,49,$237
Geoffrey Foreman,UT,Male,31,$50
Geoffrey Jarvis,LA,Male,38,$310
Geoffrey Spence,FL,Male,76,$522
Geoffrey Velasquez,NY,Male,25,$100
George Petty,FL,Male,55,$197
George Thomas,WA,Male,56,$259
Georgette Barlow,NY,Female,62,$100
